event   element | name     | type     | charge       | pT           | Eta          | Phi          | E            | mass
     725       1|        e-|        11|            -1|       700.995|      -1.24268|       1.61011|       1315.59|     -0.361816
     725       2|       mu-|        13|            -1|       92.6983|     -0.518921|    -0.0183372|       105.462|      0.105713
     726       1|       mu-|        13|            -1|       471.887|      0.691162|       2.11963|       589.158|      0.105713
     726       2|       mu-|        13|            -1|       318.387|      -1.38574|     0.0156174|       676.243|      0.105713
     727       1|        e-|        11|             1|       503.995|      -1.08252|       2.63721|       829.286|      0.113647
     727       2|        e-|        11|            -1|       341.424|      -1.89111|      -1.46802|       1157.02|    -0.0658569
     727       3|        e-|        11|            -1|       143.395|       1.60645|       2.42725|         371.8|     0.0167847
     727       4|       mu-|        13|             1|       540.569|      0.429382|    0.00488377|       591.171|      0.105713
     728       1|        e-|        11|             1|       916.743|      0.811279|      -3.05176|       1235.35|      0.239014
     728       2|        e-|        11|             1|        159.28|      -1.40503|    -0.0580597|       344.126|     -0.102234
     728       3|       mu-|        13|            -1|       785.561|      0.147583|      0.647705|       794.131|      0.105713
     728       4|       mu-|        13|            -1|       402.174|       1.79419|      -1.09497|       1242.89|      0.105713
     729       1|        e-|        11|            -1|       1118.95|      0.780029|       -1.3811|       1476.98|      0.121216
     729       2|        e-|        11|            -1|       543.601|        -0.625|      -1.96289|       653.275|     -0.162476
     729       3|        e-|        11|             1|       53.3153|       2.49268|       2.26807|       324.591|    -0.0856934
     730       1|        e-|        11|            -1|       1083.59|     -0.750854|      -2.27588|       1403.67|      0.138306
     730       2|       mu-|        13|             1|       955.721|     -0.866333|     -0.267883|       1337.37|      0.105713
     731       1|        e-|        11|             1|       554.473|     -0.586548|      -1.47949|        652.62|     -0.134033
     731       2|       mu-|        13|             1|       168.834|       2.23975|      -1.99072|       801.743|      0.105713
     731       3|       mu-|        13|            -1|       127.235|     -0.396484|       2.37012|       137.367|      0.105713
     732       1|        e-|        11|             1|       670.241|     -0.092453|       1.20801|       673.108|      0.213867
     732       2|        e-|        11|             1|       558.999|      0.846191|      -1.16284|       771.362|      0.163696
     732       3|        e-|        11|            -1|       138.946|      -1.99414|      -2.67627|       519.799|      0.125366
     733       1|       mu-|        13|             1|       1333.02|      0.013958|       -1.4248|       1333.15|      0.105713
     733       2|       mu-|        13|            -1|       531.542|       1.23145|       1.79199|        988.15|      0.105713
     733       3|       mu-|        13|             1|       422.718|      0.860718|      0.221924|       589.209|      0.105713
